model_size,quant,tg_tokens,tg_tok_sec,avg_power_w,min_power_w,max_power_w,power_samples,tokens_per_watt,joules_per_token,sec_per_1k_tokens,wh_per_1k_tokens,kwh_per_1m_tokens,rm_per_1k_tokens,rm_per_1m_tokens,electricity_cost_myr_per_kwh,model_file,bench_seconds
3B,Q4_K_M,512,363.116588,245.792000,12.490000,387.500000,20,1.477333,0.676896,2.753936,0.188027,0.188027,0.000103,0.103415,0.55,qwen2.5-3b-instruct-q4_k_m.gguf,11
3B,Q5_K_M,512,307.736183,298.049500,83.210000,398.040000,20,1.032500,0.968523,3.249537,0.269034,0.269034,0.000148,0.147969,0.55,qwen2.5-3b-instruct-q5_k_m.gguf,11
3B,Q8_0,512,59.551020,314.985517,273.920000,445.170000,87,0.189060,5.289339,16.792324,1.469261,1.469261,0.000808,0.808094,0.55,qwen2.5-3b-instruct-q8_0.gguf,49
7B,Q4_K_M,512,209.208776,411.680000,295.830000,505.000000,37,0.508183,1.967795,4.779914,0.546610,0.546610,0.000301,0.300636,0.55,qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf,21
7B,Q5_K_M,512,222.737371,386.203571,66.030000,510.070000,28,0.576736,1.733897,4.489592,0.481638,0.481638,0.000265,0.264901,0.55,qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,15
7B,Q8_0,512,174.288333,279.252889,58.630000,443.650000,45,0.624124,1.602247,5.737619,0.445069,0.445069,0.000245,0.244788,0.55,qwen2.5-7b-instruct-q8_0-00001-of-00003.gguf,25
14B,Q4_K_M,512,133.412275,430.062500,71.780000,537.650000,44,0.310216,3.223560,7.495562,0.895433,0.895433,0.000492,0.492488,0.55,qwen2.5-14b-instruct-q4_k_m-00001-of-00003.gguf,25
14B,Q5_K_M,512,121.054049,442.309184,71.000000,550.330000,49,0.273686,3.653816,8.260773,1.014949,1.014949,0.000558,0.558222,0.55,qwen2.5-14b-instruct-q5_k_m-00001-of-00003.gguf,27
14B,Q8_0,512,91.767171,375.681231,64.350000,499.490000,65,0.244269,4.093852,10.897143,1.137181,1.137181,0.000625,0.625450,0.55,qwen2.5-14b-instruct-q8_0-00001-of-00004.gguf,36
32B,Q4_K_M,512,67.587150,302.164388,17.210000,566.370000,139,0.223677,4.470737,14.795712,1.241871,1.241871,0.000683,0.683029,0.55,qwen2.5-32b-instruct-q4_k_m-00001-of-00005.gguf,77
32B,Q5_K_M,512,59.592514,171.941005,13.120000,553.400000,219,0.346587,2.885279,16.780631,0.801466,0.801466,0.000441,0.440806,0.55,qwen2.5-32b-instruct-q5_k_m-00001-of-00006.gguf,146
